,0,1,2
0,A03223-0,SimOpt_extensive_2,1.0
1,A03228-0,SimOpt_multispecies_0,1.0
2,A03229-0,SimOpt_int_short_0,1.0
3,A03239-0,SimOpt_extensive_0,1.0
4,A03256-0,SimOpt_int_short_2,1.0
5,A04023-0,SimOpt_int_short_0,1.0
6,A04028-0,SimOpt_extensive_0,0.9999999999999999
7,A04028-0,SimOpt_extensive_long_0,1.3427685842712498e-16
8,A04034-0,SimOpt_int_short_0,1.0
9,A04122-0,SimOpt_extensive_0,0.9999999999999999
10,A04122-0,SimOpt_extensive_long_0,1.9404154463025348e-16
11,A04135-0,SimOpt_multispecies_0,1.0
12,A04169-0,SimOpt_extensive_long_0,1.0
13,A04174-0,SimOpt_extensive_0,1.0
14,A04185-0,SimOpt_extensive_long_0,1.0
15,A04221-0,SimOpt_extensive_18,1.0
16,A06089-1,SimOpt_extensive_0,1.0
17,A06104-0,SimOpt_extensive_0,1.0
18,A06108-0,SimOpt_extensive_long_0,0.9999999999999999
19,A06108-0,SimOpt_no_management_0,2.1152631888056178e-16
20,A06186-1,SimOpt_extensive_long_0,0.9999999999999999
21,A06186-1,SimOpt_int_0,1.8726014345599254e-16
22,A06247-0,SimOpt_extensive_0,1.0
23,A06257-0,SimOpt_extensive_0,1.0
24,A07029-0,SimOpt_extensive_long_0,1.0
25,A07034-0,SimOpt_extensive_0,1.0
26,A07037-0,SimOpt_int_short_0,1.0
27,A07052-0,SimOpt_extensive_0,1.0
28,A07062-0,SimOpt_extensive_long_0,1.0
29,A07076-0,SimOpt_int_short_0,1.0
30,A07077-0,SimOpt_extensive_2,1.0
31,A07141-0,SimOpt_extensive_long_0,1.0
32,A07142-0,SimOpt_no_management_0,1.0
33,A07144-0,SimOpt_extensive_2,1.0
34,A07162-0,SimOpt_extensive_long_0,1.0
35,A07228-0,SimOpt_extensive_9,1.0
36,A10054-0,SimOpt_extensive_2,1.0000000000000002
37,A10151-0,SimOpt_extensive_0,1.0
38,A10153-1,SimOpt_extensive_long_0,1.0
39,A10188-0,SimOpt_int_short_0,1.0
40,A10203-0,SimOpt_extensive_long_0,1.0
41,A10204-0,SimOpt_int_short_0,1.0
42,A10253-0,SimOpt_extensive_1,2.0470179332938e-16
43,A10253-0,SimOpt_extensive_2,0.9999999999999999
44,A11016-0,SimOpt_extensive_18,1.0
45,A11066-0,SimOpt_extensive_0,1.0
46,A11123-1,SimOpt_extensive_long_18,1.0
47,A11169-0,SimOpt_extensive_0,1.0
48,A11178-0,SimOpt_extensive_0,1.0
49,A11191-0,SimOpt_extensive_long_0,0.4776440183806013
50,A11191-0,SimOpt_no_management_0,0.5223559816193986
51,A14028-0,SimOpt_extensive_long_0,0.9964574840306061
52,A14028-0,SimOpt_no_management_0,0.0035425159693938772
53,A14046-0,SimOpt_int_0,1.0
54,A14065-0,SimOpt_extensive_0,0.9999999999999999
55,A14079-0,SimOpt_extensive_long_0,1.0
56,A14094-0,SimOpt_int_short_0,1.0
57,A14116-0,SimOpt_extensive_0,2.1413563679518282e-16
58,A14116-0,SimOpt_int_0,0.9999999999999999
59,A14119-0,SimOpt_extensive_long_0,0.9999999999999999
60,A14119-0,SimOpt_int_0,1.4594840320888996e-16
61,A14126-0,SimOpt_int_0,1.0
62,A14141-0,SimOpt_extensive_long_0,1.0
63,A14143-0,SimOpt_extensive_2,1.0
64,A14145-0,SimOpt_extensive_long_0,1.0
65,A14158-0,SimOpt_extensive_2,1.0
66,A14163-0,SimOpt_int_0,1.0
