,0,1,2
0,A03223-0,SimOpt_extensive_long_18,1.0000000000000002
1,A03228-0,SimOpt_int_0,1.0
2,A03229-0,SimOpt_extensive_long_0,1.0
3,A03239-0,SimOpt_no_management_0,1.0
4,A03256-0,SimOpt_int_short_0,1.0
5,A04023-0,SimOpt_int_0,0.1277491605482694
6,A04023-0,SimOpt_int_short_0,0.8722508394517307
7,A04028-0,SimOpt_no_management_0,1.0
8,A04034-0,SimOpt_extensive_0,1.0
9,A04122-0,SimOpt_extensive_long_0,1.0
10,A04135-0,SimOpt_extensive_long_0,1.0
11,A04169-0,SimOpt_int_short_0,1.0
12,A04174-0,SimOpt_extensive_long_0,1.0
13,A04185-0,SimOpt_no_management_0,1.0
14,A04221-0,SimOpt_extensive_long_16,1.0
15,A06089-1,SimOpt_no_management_0,1.0
16,A06104-0,SimOpt_extensive_long_0,1.0
17,A06108-0,SimOpt_no_management_0,1.0
18,A06186-1,SimOpt_no_management_0,1.0
19,A06247-0,SimOpt_extensive_0,1.0
20,A06257-0,SimOpt_extensive_long_0,1.0
21,A07029-0,SimOpt_extensive_long_0,1.0
22,A07034-0,SimOpt_extensive_long_0,1.0
23,A07037-0,SimOpt_int_short_0,1.0
24,A07052-0,SimOpt_extensive_long_18,1.0
25,A07062-0,SimOpt_extensive_long_0,1.0
26,A07076-0,SimOpt_extensive_long_0,0.9851411525881583
27,A07076-0,SimOpt_int_0,0.014858847411841675
28,A07077-0,SimOpt_extensive_long_6,1.0000000000000002
29,A07141-0,SimOpt_no_management_0,1.0
30,A07142-0,SimOpt_no_management_0,1.0
31,A07144-0,SimOpt_extensive_long_16,1.0
32,A07162-0,SimOpt_no_management_0,1.0
33,A07228-0,SimOpt_extensive_18,1.0
34,A10054-0,SimOpt_extensive_16,1.0
35,A10151-0,SimOpt_extensive_0,1.0
36,A10153-1,SimOpt_no_management_0,1.0
37,A10188-0,SimOpt_int_short_0,1.0
38,A10203-0,SimOpt_extensive_0,1.0
39,A10204-0,SimOpt_int_short_0,0.9999999999999999
40,A10253-0,SimOpt_extensive_2,1.0
41,A11016-0,SimOpt_no_management_0,1.0
42,A11066-0,SimOpt_no_management_0,1.0000000000000002
43,A11123-1,SimOpt_extensive_long_16,1.0
44,A11169-0,SimOpt_extensive_long_0,2.070386370124536e-16
45,A11169-0,SimOpt_no_management_0,0.9999999999999999
46,A11178-0,SimOpt_extensive_0,1.0
47,A11191-0,SimOpt_no_management_0,1.0
48,A14028-0,SimOpt_no_management_0,1.0
49,A14046-0,SimOpt_int_short_0,1.0
50,A14065-0,SimOpt_int_short_0,1.0
51,A14079-0,SimOpt_no_management_0,1.0
52,A14094-0,SimOpt_int_0,1.0
53,A14116-0,SimOpt_int_short_0,1.0
54,A14119-0,SimOpt_int_0,1.0
55,A14126-0,SimOpt_int_0,1.0
56,A14141-0,SimOpt_no_management_0,1.0
57,A14143-0,SimOpt_extensive_long_16,1.0
58,A14145-0,SimOpt_extensive_long_0,1.0
59,A14158-0,SimOpt_extensive_long_17,1.0000000000000002
60,A14163-0,SimOpt_extensive_0,1.0
61,A14183-0,SimOpt_no_management_0,1.0000000000000002
62,A14186-0,SimOpt_int_0,1.9211914125358262e-16
63,A14186-0,SimOpt_int_short_0,0.9999999999999999
64,A14188-0,SimOpt_int_short_0,1.0
65,A14192-0,SimOpt_int_short_0,1.0
66,A14204-0,SimOpt_no_management_0,1.0
67,A14207-0,SimOpt_extensive_long_18,1.0
68,A14231-0,SimOpt_extensive_long_17,1.0
69,A14233-1,SimOpt_extensive_long_0,1.0
70,A14249-0,SimOpt_extensive_0,1.1800461164744265e-16
71,A14249-0,SimOpt_no_management_0,0.9999999999999999
72,A15017-0,SimOpt_extensive_11,1.4215236370176524e-16
73,A15017-0,SimOpt_extensive_2,0.9999999999999999
74,A15022-0,SimOpt_extensive_long_18,1.0
75,A15023-0,SimOpt_extensive_0,1.0
76,A15026-0,SimOpt_int_0,1.0
77,A15027-0,SimOpt_int_short_18,1.0
78,A15029-0,SimOpt_int_16,1.0
79,A15034-0,SimOpt_extensive_long_0,1.0
80,A15065-0,SimOpt_extensive_1,1.0
81,A15066-0,SimOpt_extensive_2,1.0
82,A15068-0,SimOpt_extensive_long_0,1.0
83,A15076-0,SimOpt_no_management_0,0.9999999999999999
84,A15121-0,SimOpt_no_management_0,1.0
85,A15128-0,SimOpt_extensive_17,1.0
86,A15133-0,SimOpt_extensive_long_16,1.0
87,A15137-1,SimOpt_extensive_18,1.0
88,A15163-0,SimOpt_extensive_16,1.0
89,A15172-0,SimOpt_extensive_long_17,1.0
90,A15181-0,SimOpt_no_management_0,1.0
91,A15184-0,SimOpt_extensive_2,1.0
92,A15186-0,SimOpt_extensive_long_16,1.0
93,A15187-0,SimOpt_int_short_0,1.0
94,A15197-0,SimOpt_extensive_long_17,1.0
95,A15222-0,SimOpt_int_17,1.0
96,A15225-0,SimOpt_int_short_17,1.0
97,A15231-1,SimOpt_int_short_18,1.0000000000000002
98,A18032-0,SimOpt_extensive_0,1.0
99,A18035-0,SimOpt_int_short_0,1.0
100,A18068-0,SimOpt_int_short_0,1.0
101,A18109-0,SimOpt_extensive_long_0,1.0
102,A18122-0,SimOpt_extensive_1,1.0000000000000002
103,A18211-0,SimOpt_int_short_0,1.0
104,A18219-0,SimOpt_extensive_2,1.0
105,A18253-0,SimOpt_extensive_long_0,0.2306383775518341
106,A18253-0,SimOpt_int_short_0,0.7693616224481657
107,A18256-0,SimOpt_extensive_long_18,1.0
108,A19021-0,SimOpt_no_management_0,1.0
109,A19022-0,SimOpt_int_0,1.0
110,A19026-0,SimOpt_extensive_long_17,1.0
111,A19036-1,SimOpt_no_management_0,1.0
112,A19052-0,SimOpt_extensive_16,1.0
113,A19058-0,SimOpt_extensive_16,0.9999999999999999
114,A19182-0,SimOpt_extensive_long_16,1.0
115,A20014-0,SimOpt_extensive_1,1.6459552626015798e-16
116,A20014-0,SimOpt_int_short_1,0.9999999999999999
117,A20015-0,SimOpt_extensive_16,1.0
118,A22011-0,SimOpt_no_management_0,0.9999999999999999
119,A22091-0,SimOpt_extensive_2,1.0
120,A22095-0,SimOpt_no_management_0,1.0
121,A22098-0,SimOpt_extensive_17,1.0
122,A22103-0,SimOpt_no_management_0,1.0
123,A22107-0,SimOpt_int_short_16,1.0
124,A22161-0,SimOpt_int_short_0,1.0
125,A22186-0,SimOpt_no_management_0,1.0
126,A22224-0,SimOpt_extensive_long_0,0.27172809174666773
127,A22224-0,SimOpt_int_0,0.7282719082533323
128,A22229-0,SimOpt_extensive_16,1.0
129,A23224-1,SimOpt_extensive_long_0,0.15396785190805704
130,A23224-1,SimOpt_no_management_0,0.8460321480919428
131,A23227-0,SimOpt_multispecies_17,1.0
132,A23236-0,SimOpt_extensive_long_0,1.0
133,A25054-0,SimOpt_int_short_0,1.0000000000000002
134,A25193-2,SimOpt_extensive_0,1.5166735931067943e-16
135,A25193-2,SimOpt_int_short_0,0.9999999999999999
136,A25195-0,SimOpt_int_short_0,1.0000000000000002
137,A25205-0,SimOpt_int_0,1.0
138,A26023-1,SimOpt_extensive_long_0,0.9999999999999999
139,A26029-0,SimOpt_no_management_0,1.0
140,A26117-2,SimOpt_extensive_1,1.0
141,A26127-0,SimOpt_no_management_0,0.9999999999999999
142,A26145-0,SimOpt_extensive_long_0,0.9999999999999999
143,A26145-0,SimOpt_int_short_0,1.440922165945016e-16
144,A26156-0,SimOpt_extensive_17,1.0
145,A26171-0,SimOpt_int_short_0,1.0
146,A26198-0,SimOpt_int_short_0,1.0
147,A27119-0,SimOpt_no_management_0,0.9999999999999999
148,A27119-0,SimOpt_int_short_0,1.1925139858145502e-16
149,A27122-0,SimOpt_extensive_long_18,1.0
150,A27126-0,SimOpt_int_short_0,1.0
151,A27129-0,SimOpt_extensive_18,1.0000000000000002
152,A27191-0,SimOpt_no_management_0,1.0
153,A27195-0,SimOpt_no_management_0,1.0
154,A27235-1,SimOpt_extensive_13,1.0
155,A28062-0,SimOpt_no_management_0,1.0
156,A28067-0,SimOpt_extensive_0,1.0
157,A28069-0,SimOpt_no_management_0,1.0
158,A29052-0,SimOpt_extensive_long_17,1.0
159,A29153-0,SimOpt_extensive_0,1.0
160,A30011-0,SimOpt_extensive_2,1.0
161,A30113-0,SimOpt_extensive_3,0.10842688379129456
162,A30113-0,SimOpt_extensive_4,0.8915731162087055
163,A30115-0,SimOpt_extensive_long_18,1.0
164,A30166-0,SimOpt_int_short_0,1.0
165,A30242-1,SimOpt_no_management_0,1.0
166,A31188-0,SimOpt_extensive_long_18,1.0
167,A31255-2,SimOpt_extensive_long_0,1.0
168,A31257-0,SimOpt_extensive_long_0,1.0
169,A31258-0,SimOpt_no_management_0,1.0
170,A32171-0,SimOpt_extensive_0,1.0000000000000002
171,A32172-0,SimOpt_extensive_long_17,1.0
172,A33055-0,SimOpt_extensive_1,1.0
173,A33109-0,SimOpt_extensive_18,1.0
174,A33233-1,SimOpt_no_management_0,1.0
175,A34075-0,SimOpt_extensive_long_18,1.0
176,A34159-0,SimOpt_no_management_0,1.0
177,A34164-0,SimOpt_extensive_long_0,1.0
