,0,1,2
0,A03223-0,SimOpt_extensive_0,1.334210345695292e-12
1,A03223-0,SimOpt_extensive_2,1.0
2,A03228-0,SimOpt_multispecies_0,1.0
3,A03229-0,SimOpt_extensive_0,1.962427922653203e-12
4,A03229-0,SimOpt_int_short_0,1.0
5,A03239-0,SimOpt_extensive_0,1.0
6,A03256-0,SimOpt_int_short_1,2.9443391186920203e-12
7,A03256-0,SimOpt_int_short_2,1.0
8,A04023-0,SimOpt_int_short_0,1.0
9,A04028-0,SimOpt_extensive_0,0.9999999999999999
10,A04034-0,SimOpt_extensive_0,0.9999999999999999
11,A04034-0,SimOpt_int_short_0,2.6385015749816875e-12
12,A04122-0,SimOpt_extensive_0,0.9999999999999999
13,A04135-0,SimOpt_extensive_0,1.0
14,A04169-0,SimOpt_extensive_long_0,1.0
15,A04174-0,SimOpt_extensive_0,1.0
16,A04185-0,SimOpt_extensive_long_0,1.0
17,A04221-0,SimOpt_extensive_0,1.4243133834851528e-12
18,A04221-0,SimOpt_extensive_2,1.0
19,A06089-1,SimOpt_extensive_0,1.0
20,A06104-0,SimOpt_extensive_0,1.0
21,A06108-0,SimOpt_extensive_long_0,0.9999999999999999
22,A06186-1,SimOpt_extensive_long_0,0.9999999999999999
23,A06247-0,SimOpt_extensive_0,1.0
24,A06247-0,SimOpt_int_0,1.825645316904053e-12
25,A06257-0,SimOpt_extensive_0,1.0
26,A07029-0,SimOpt_extensive_long_0,1.0
27,A07034-0,SimOpt_extensive_0,1.0
28,A07037-0,SimOpt_int_short_0,1.0
29,A07052-0,SimOpt_extensive_9,1.0
30,A07062-0,SimOpt_extensive_long_0,1.0
31,A07076-0,SimOpt_int_0,1.0
32,A07076-0,SimOpt_int_short_0,1.48489222640251e-12
33,A07077-0,SimOpt_extensive_2,1.0
34,A07141-0,SimOpt_extensive_long_0,1.0
35,A07142-0,SimOpt_extensive_0,1.0
36,A07144-0,SimOpt_extensive_2,1.0
37,A07162-0,SimOpt_extensive_long_0,1.0
38,A07228-0,SimOpt_extensive_0,1.0
39,A10054-0,SimOpt_extensive_2,0.9999999999999999
